key,pattern,order,condition,priority,ja,en,zh,response_type,action_id,choice_yes_pattern,choice_no_pattern,question_ja,question_en,question_cn,choice_yes_ja,choice_yes_en,choice_yes_cn,choice_no_ja,choice_no_en,choice_no_cn,notes,
greeting_morning,greeting_morning,1,Morning,10,おはよう！朝だね。今日はなにしようか。,Good morning! It's morning. What should we do today?,早上好！已经早晨了。今天做什么呢？,Reaction,,,,,,,,,,,,,通常の朝挨拶,
greeting_day,greeting_day,1,Day,10,昼だね。お腹空いてない？,It's daytime. Aren't you hungry?,中午了。你肚子饿吗？,Reaction,,,,,,,,,,,,,昼の挨拶,
greeting_night,greeting_night,1,Night,10,夜だね。寝る前に何かする？,,,Reaction,,,,,,,,,,,,,夜の挨拶,
greeting_evening,greeting_evening,1,Evening,10,夕方だね。やり忘れたことはない？,It's evening. Did you forget to do anything?,傍晚了。有没有什么忘记做的？,Reaction,,,,,,,,,,,,,夕の挨拶,
greeting_revived_morning,greeting_revived_morning,1,Morning,100,……おはよう。どんな気分？無事に生き返れたみたいだね。,I thought you had died...,我还以为你已经死掉了……,Reaction,,,,,,,,,,,,,死亡フラグ後の朝挨拶,
unknown_word_prompt,unknown_word_prompt,1,,10,{unknown_word}ってなに？もしかして、言葉を教えてくれるの？,What's {unknown_word}? Could you tell me what it means?,{unknown_word}是什么？你能告诉我这是什么意思吗？,Choice,,unknown_word_teach_yes,unknown_word_teach_no,,,,言葉を教える,"Yes, I'll explain.",嗯，我来解释,やめておく,"No, that's not it.",不是哦,未知語の聞き返しテンプレート,
unknown_word_teach_yes,unknown_word_teach_yes,1,,10,やったー！じゃあ、{unknown_word}ってどういう意味？,Okay. Then what does {unknown_word} mean?,明白了。那么，{unknown_word}是什么意思？,Event,unknown_word_teach_event,,,,,,,,,,,,未知語を教えてもらうイベント分岐,
unknown_word_teach_no,unknown_word_teach_no,1,,10,そっか。よかったらまた後で教えてね！,I see. Then let's leave it there for now.,这样啊。那现在就先这样吧。,Reaction,,,,,,,,,,,,,未知語の説明を断られた時,
fallback_unknown_input,fallback_unknown_input,1,,10,うーん、なんのことだろう？,Hmm... what could that be about?,嗯……那是在说什么呢？,Reaction,,,,,,,,,,,,,未知語抽出も失敗した時のフォールバック,
SYS_RENAME_CAT_CONFIRM,SYS_RENAME_CAT_CONFIRM,1,,100,えっ？{{CAT_PRONOUN}}の名前が変わるの……？{{CAT_NAME}}ってもう呼ばれないの？,,,Choice,,SYS_RENAME_CAT_ACCEPT,SYS_RENAME_CAT_CANCEL,{{CAT_NAME}}に新しい名前を付ける？,,,はい,Yes,是,いいえ,No,不是,猫又改名確認,
